transaction_id,date,account,description,amount,category,new_category,new_description,Sub_category
966,1/1/25,Mich City,Lost Continent,-25.5,Travel & Entertainment,,,Travel & Entertainment
965,1/1/25,Mich City,Lost Continent,-6.5,Travel & Entertainment,,,Travel & Entertainment
968,1/1/25,Mich City,Unknown,-75.0,Travel & Entertainment,,,Transport
967,1/1/25,Mich City,Restaurant,-38.29,Travel & Entertainment,,,Travel & Entertainment
1154,1/1/25,Mich Amex,Netflix,-26.02,Subscriptions,,,Streaming
944,1/10/25,Mich City,Publix,-7.52,Groceries,,,Groceries
943,1/10/25,Mich City,Publix,-5.3,Groceries,,,Groceries
945,1/10/25,Mich City,Tumi,-26.75,General Merchandise,,,General Merchandise
271,1/10/25,Fam Wells,Netflix,-17.53,Subscriptions,,,Streaming
270,1/10/25,Fam Wells,Zelle To Basketball Charlie,-25.0,Education,,,Basket Lore
1143,1/10/25,Mich Amex,AT&T,-97.49,Bills & Utilities,,,Bills & Utilities
941,1/11/25,Mich City,Chevron,-63.89,Auto,,,Transport
942,1/11/25,Mich City,VSI*PARKS,-55.0,Auto,,,Transport
1314,1/11/25,Mich Bofa,Amazon,24.6,Amazon,,,Amazon
1316,1/11/25,Mich Bofa,Amazon,35.3,Amazon,,,Amazon
1315,1/11/25,Mich Bofa,Amazon,40.64,Amazon,,,Amazon
1317,1/11/25,Mich Bofa,Amazon,114.28,Amazon,,,Amazon
937,1/12/25,Mich City,CVS,-10.0,Medical,,,Medical
940,1/12/25,Mich City,Sancocho Y Lena,-142.03,Travel & Entertainment,,,Dining
938,1/12/25,Mich City,Omakai Sushi,-195.3,Travel & Entertainment,,,Dining
939,1/12/25,Mich City,Santo Dulce Food,-18.19,Travel & Entertainment,,,Dining
936,1/13/25,Mich City,Ferdandez Lareu Mari,5.6,Travel & Entertainment,,,Travel & Entertainment
935,1/13/25,Mich City,Financial Transactions,7144.0,Financial Transactions,,,Card Payment
267,1/13/25,Fam Wells,Moto,-219.28,Auto,,,Vehicle Payment
269,1/13/25,Fam Wells,SunPass,-10.0,Auto,,,Tolls
268,1/13/25,Fam Wells,SunPass,-10.0,Auto,,,Tolls
1312,1/13/25,Mich Bofa,Amazon,-128.35,Amazon,,,Amazon
1311,1/13/25,Mich Bofa,Amazon,-126.59,Amazon,,,Amazon
1313,1/13/25,Mich Bofa,Amazon,106.98,Amazon,,,Amazon
